Rank,Product_name,Ratings,Num_ratings,Num_reviews,DP,MRP,Remarks,Link
rank,product name,stars,ratings,reviews,price,net price,remarks,link
1,"Realme C2 (Diamond Black, 16 GB)",4.4,272138,26701,5999,6999,,https://www.flipkart.com/realme-c2-diamond-black-16-gb/p/itmfgwbaahz6ph9j?pid=MOBFFMG3FGAFZYVE&srno=b_1_1&otracker=browse&lid=LSTMOBFFMG3FGAFZYVEPQOEDM&fm=organic&iid=5c387d6e-3ab9-43f8-92e8-0d38841f09c8.MOBFFMG3FGAFZYVE.SEARCH&ssid=rb1r79nccw0000001566802202088
2,"Realme C2 (Diamond Blue, 16 GB)",4.4,272138,26701,5999,6999,,https://www.flipkart.com/realme-c2-diamond-blue-16-gb/p/itmfgwbaahz6ph9j?pid=MOBFFMG3GGTPYZGK&srno=b_1_2&otracker=browse&lid=LSTMOBFFMG3GGTPYZGKFALLR1&fm=organic&iid=ecf3bb32-d6a6-4ed5-95fb-9777307f356f.MOBFFMG3GGTPYZGK.SEARCH&ssid=rb1r79nccw0000001566802202088
3,"Realme 3i (Diamond Black, 32 GB)",4.4,69641,7466,7999,8999,,https://www.flipkart.com/realme-3i-diamond-black-32-gb/p/itmfgybqvazmnmmd?pid=MOBFGYBQ8NKDAMRB&srno=b_1_3&otracker=browse&lid=LSTMOBFGYBQ8NKDAMRBAJ7FY7&fm=organic&iid=82dfd865-f680-4319-9cb7-2dc02ea56894.MOBFGYBQ8NKDAMRB.SEARCH&ssid=rb1r79nccw0000001566802202088
4,"Realme 3i (Diamond Blue, 32 GB)",4.4,69641,7466,7999,8999,,https://www.flipkart.com/realme-3i-diamond-blue-32-gb/p/itmfgybqvazmnmmd?pid=MOBFGYBQQGUB9YFQ&srno=b_1_4&otracker=browse&lid=LSTMOBFGYBQQGUB9YFQNAUOSQ&fm=organic&iid=2aaed091-2d87-4e27-8448-1b350ca9c920.MOBFGYBQQGUB9YFQ.SEARCH&ssid=rb1r79nccw0000001566802202088
5,"Realme 3i (Diamond Red, 64 GB)",4.4,18507,1784,9999,10999,,https://www.flipkart.com/realme-3i-diamond-red-64-gb/p/itmfgybqvazmnmmd?pid=MOBFGYBQ5QP8GYTN&srno=b_1_5&otracker=browse&lid=LSTMOBFGYBQ5QP8GYTNIJBPOE&fm=organic&iid=7f9b1c7e-3062-4af8-8f0f-da7523040f92.MOBFGYBQ5QP8GYTN.SEARCH&ssid=rb1r79nccw0000001566802202088
6,"Realme 3i (Diamond Blue, 64 GB)",4.4,18507,1784,9999,10999,,https://www.flipkart.com/realme-3i-diamond-blue-64-gb/p/itmfgybqvazmnmmd?pid=MOBFGYBQYRTZGUUV&srno=b_1_6&otracker=browse&lid=LSTMOBFGYBQYRTZGUUVRSYHTT&fm=organic&iid=74515e4b-7e4a-4f9d-96d0-7d3f4b61b38f.MOBFGYBQYRTZGUUV.SEARCH&ssid=rb1r79nccw0000001566802202088
7,"Redmi 7A (Matte Blue, 32 GB)",4.4,65524,4620,6199,6999,,https://www.flipkart.com/redmi-7a-matte-blue-32-gb/p/itmfhz4cztznu8kk?pid=MOBFHZ4BZW2GM6UH&srno=b_1_7&otracker=browse&lid=LSTMOBFHZ4BZW2GM6UH1MY0IQ&fm=organic&iid=cf19f633-158e-4674-8d3d-70a051a36dc9.MOBFHZ4BZW2GM6UH.SEARCH&ssid=rb1r79nccw0000001566802202088
8,"Samsung Galaxy J6 (Black, 64 GB)",4.5,31555,1935,9490,12900,,https://www.flipkart.com/samsung-galaxy-j6-black-64-gb/p/itmf5bkh5snxdanh?pid=MOBF5BKHAK33A75F&srno=b_1_8&otracker=browse&lid=LSTMOBF5BKHAK33A75FF5GAS6&fm=organic&iid=1f9ff3e6-d11a-42f6-9f45-60096e19fc04.MOBF5BKHAK33A75F.SEARCH&ssid=rb1r79nccw0000001566802202088
9,"Samsung Galaxy J6 (Blue, 64 GB)",4.5,31555,1935,9490,12900,,https://www.flipkart.com/samsung-galaxy-j6-blue-64-gb/p/itmf5bkhbshehpg9?pid=MOBF5BKHVHFGWYHB&srno=b_1_9&otracker=browse&lid=LSTMOBF5BKHVHFGWYHBEIO1EB&fm=organic&iid=826fd641-3b4f-4d7f-9f52-302167f5a338.MOBF5BKHVHFGWYHB.SEARCH&ssid=rb1r79nccw0000001566802202088
10,"Redmi 7A (Matte Black, 32 GB)",4.4,65524,4620,6199,6999,,https://www.flipkart.com/redmi-7a-matte-black-32-gb/p/itmfhz4cm2yz93xx?pid=MOBFHZ4BRKSMDXH7&srno=b_1_10&otracker=browse&lid=LSTMOBFHZ4BRKSMDXH7XKB6YB&fm=organic&iid=ec402ea5-d93e-4dc0-a672-400e115261e4.MOBFHZ4BRKSMDXH7.SEARCH&ssid=rb1r79nccw0000001566802202088
11,"Vivo Z1Pro (Sonic Black, 64 GB)",4.5,86782,9745,14990,15990,,https://www.flipkart.com/vivo-z1pro-sonic-black-64-gb/p/itmfghyebfrvjzfs?pid=MOBFHHT56NTTZKZ5&srno=b_1_11&otracker=browse&lid=LSTMOBFHHT56NTTZKZ5PWUNSS&fm=organic&iid=66516113-f497-4f0b-bf8e-3b191ab271cb.MOBFHHT56NTTZKZ5.SEARCH&ssid=rb1r79nccw0000001566802202088
12,"Vivo Z1Pro (Sonic Blue, 64 GB)",4.5,32718,3759,16990,17990,,https://www.flipkart.com/vivo-z1pro-sonic-blue-64-gb/p/itmfghyebfrvjzfs?pid=MOBFHHT5ZETVHC4H&srno=b_1_12&otracker=browse&lid=LSTMOBFHHT5ZETVHC4H1MJSRL&fm=organic&iid=0cc5a638-0b6a-4c97-aa47-2a81033be40b.MOBFHHT5ZETVHC4H.SEARCH&ssid=rb1r79nccw0000001566802202088
13,"Redmi Note 7S (Sapphire Blue, 64 GB)",4.4,62980,5154,11999,13999,,https://www.flipkart.com/redmi-note-7s-sapphire-blue-64-gb/p/itmfh75f4rhcjdfk?pid=MOBFGGJ8CKGVHHZU&srno=b_1_13&otracker=browse&lid=LSTMOBFGGJ8CKGVHHZULJU9WG&fm=organic&iid=b0dee46e-5011-4d36-900b-ec1ba737506b.MOBFGGJ8CKGVHHZU.SEARCH&ssid=rb1r79nccw0000001566802202088
14,"Redmi Note 7 Pro (Space Black, 64 GB)",4.5,116415,10293,14999,16999,,https://www.flipkart.com/redmi-note-7-pro-space-black-64-gb/p/itmfhvuexbzu6fjd?pid=MOBFHUQ4ZPZX89G6&srno=b_1_14&otracker=browse&lid=LSTMOBFHUQ4ZPZX89G6HJKRJW&fm=organic&iid=850fffb3-d828-4289-822d-d3375c2443c1.MOBFHUQ4ZPZX89G6.SEARCH&ssid=rb1r79nccw0000001566802202088
